Alliance,Party Name,Estimated Seats Prediction,Estimated Plus Minus,Expected Total Seats,Actual Seats After Results
SPA,DMK,117,±10,150,
SPA,INC,16,±2,,
SPA,DMDK,7,±1,,
SPA,VCK,4,±1,,
SPA,CPI,3,±1,,
SPA,CPI(M),2,±1,,
SPA,IUML,1,±1,,
NDA,AIDMK,53,±10,70,
NDA,BJP,9,±2,,
NDA,PMK,7,±1,,
NDA,AMMK,1,±1,,
-,TVK,14,±4,14,
-,Others,0,-,0,
