Ward Number,Expected Winning Party (By PPA on 15-01-26),Actual Winner (after results on 16-01-26),Expected Votes (By PPA on 15-01-26),Actual Votes (after results on 16-01-26),Vote Diff,Runner-Up (By PPA on 15-01-26),Actual Runner-Up (after results on 16-01-26),Expcted Runner-Up Votes (By PPA on 15-01-26),Actual Runner-Up Votes (after results on 16-01-26),Winning Margin (By PPA on 15-01-26),Actual Margin (after results on 16-01-26)
Ward-89,SS (Shinde),,7952,,,UBT,,5100,,2852,
Ward-90,CONGRESS,,6100,,,BJP,,5828,,272,
Ward-91,UBT,,9732,,,BJP,,8227,,1505,
Ward-92,IND/OTHERS,,,,,,,,,
Ward-93,SS (Shinde),,10245,,,UBT,,2000,,8245,
Ward-94,UBT,,7900,,,SS (Shinde),,6900,,1000,
Ward-95,BJP,,8313,,,UBT,,7551,,762,
Ward-96,UBT,,6522,,,SS (Shinde),,3064,,3458,
Ward-97,BJP,,12354,,,UBT,,5022,,7332,
Ward-98,BJP,,13205,,,MNS,,7074,,6131,
Ward-99,BJP,,12136,,,UBT,,10603,,1533,
Ward-100,BJP,,8970,,,UBT,,8240,,730,
Ward-101,IND/OTHERS,,,,,,,,,
Ward-102,IND/OTHERS,,,,,,,,,
Ward-103,BJP,,15583,,,MNS,,5120,,10463,
Ward-104,BJP,,12825,,,CONGRESS,,5000,,7825,
Ward-105,BJP,,11005,,,UBT,,7100,,3905,
Ward-106,BJP,,9024,,,MNS,,6002,,3022,
Ward-107,BJP,,11647,,,IND/OTHERS,,5100,,6547,
Ward-108,BJP,,10967,,,UBT,,4700,,6267,
Ward-109,UBT,,7500,,,SS (Shinde),,6000,,1500,
Ward-110,CONGRESS,,5075,,,BJP,,4972,,103,
Ward-111,BJP,,9021,,,UBT,,5381,,3640,
Ward-112,BJP,,10820,,,NCP(SP),,10820,,0,
Ward-113,SS (Shinde),,7040,,,UBT,,5895,,1145,
Ward-114,SS (Shinde),,7872,,,UBT,,5802,,2070,
Ward-115,BJP,,8556,,,MNS,,4856,,3700,
Ward-116,BJP,,7750,,,UBT,,5892,,1858,
Ward-117,SS (Shinde),,8495,,,UBT,,4786,,3709,
Ward-118,SS (Shinde),,9035,,,UBT,,5851,,3184,
Ward-119,SS (Shinde),,7512,,,MNS,,4950,,2562,
Ward-120,SS (Shinde),,7342,,,UBT,,4565,,2777,
Ward-121,UBT,,,,,,,,,
Ward-122,BJP,,6951,,,UBT,,3350,,3601,
Ward-123,UBT,,,,,,,,,
Ward-124,SS (Shinde),,7945,,,UBT,,6300,,1645,
Ward-125,UBT,,9275,,,SS (Shinde),,8780,,495,
Ward-126,BJP,,9600,,,UBT,,5200,,4400,
Ward-127,UBT,,8262,,,,,,1904,
Ward-128,MNS,,,,,,,,,
Ward-129,BJP,,9892,,,MNS,,5300,,4592,
Ward-130,BJP,,11927,,,UBT,,4900,,7027,
Ward-131,BJP,,12412,,,UBT,,10980,,1432,
Ward-132,BJP,,15600,,,UBT,,10608,,4992,
Ward-133,SS (Shinde),,6816,,,MNS,,4800,,2016,
Ward-134,IND/OTHERS,,,,,,,,,
Ward-135,BJP,,,,,,,,,
Ward-136,IND/OTHERS,,,,,,,,,
Ward-137,UBT,,,,,,,,,
Ward-138,SS (Shinde),,,,,,,,,
Ward-139,IND/OTHERS,,,,,,,,,
Ward-140,SS (Shinde),,,,,,,,,
Ward-141,BJP,,,,,,,,,
Ward-142,SS (Shinde),,,,,,,,,
Ward-143,SS (Shinde),,,,,,,,,
Ward-144,BJP,,9024,,,UBT,,4790,,4234,
Ward-145,IND/OTHERS,,,,,,,,,
Ward-146,MNS,,,,,,,,,
Ward-147,UBT,,,,,,,,,
Ward-148,SS (Shinde),,,,,,,,,
Ward-149,BJP,,7022,,,MNS,,3300,,3722,
Ward-150,BJP,,8987,,,CONGRESS,,6800,,2187,
Ward-151,BJP,,,,,,,,,
Ward-152,BJP,,8927,,,MNS,,4765,,4162,
Ward-153,UBT,,10841,,,SS (Shinde),,8250,,2591,
Ward-154,BJP,,10872,,,UBT,,5500,,5372,
Ward-155,BJP,,,,,,,,,
Ward-156,UBT,,,,,,,,,
Ward-157,BJP,,,,,,,,,
Ward-158,UBT,,,,,,,,,
Ward-159,BJP,,8212,,,UBT,,3600,,4612,
Ward-160,SS (Shinde),,,,,,,,,
Ward-161,SS (Shinde),,,,,,,,,
Ward-162,SS (Shinde),,,,,,,,,
Ward-163,UBT,,,,,,,,,
Ward-164,BJP,,,,,,,,,
Ward-165,CONGRESS,,7200,,,BJP,,4908,,2292,
Ward-166,UBT,,7100,,,SS (Shinde),,6100,,1000,
Ward-167,CONGRESS,,,,,,,,,
Ward-168,UBT,,,,,,,,,
Ward-169,SS (Shinde),,8415,,,UBT,,6200,,2215,
Ward-170,NCP(SP),,6430,,,BJP,,4102,,2328,
Ward-171,UBT,,,,,,,,,
Ward-172,BJP,,14902,,,,,,,
Ward-173,BJP,,5961,,,UBT,,4900,,1061,
Ward-174,BJP,,5717,,,CONGRESS,,3982,,1735,
Ward-175,SS (Shinde),,6351,,,MNS,,5200,,1151,
Ward-176,BJP,,7061,,,CONGRESS,,3500,,3561,
Ward-177,BJP,,12982,,,MNS,,4944,,8038,
Ward-178,SS (Shinde),,8977,,,MNS,,4500,,4477,
Ward-179,SS (Shinde),,8735,,,CONGRESS,,6001,,2734,
Ward-180,UBT,,9200,,,SS (Shinde),,4600,,4600,
Ward-181,UBT,,,,,,,,,
Ward-182,UBT,,,,,,,,,
Ward-183,MNS,,,,,,,,,
Ward-184,IND/OTHERS,,,,,,,,,
Ward-185,BJP,,6800,,,UBT,,4600,,2200,
Ward-186,UBT,,,,,,,,,
Ward-187,UBT,,,,,,,,,
Ward-188,MNS,,,,,,,,,
Ward-189,UBT,,,,,,,,,
Ward-190,BJP,,,,,,,,,
Ward-191,SS (Shinde),,,,,,,,,
Ward-192,MNS,,,,,,,,,
Ward-193,UBT,,,,,,,,,
Ward-194,UBT,,,,,,,,,
Ward-195,UBT,,,,,,,,,
Ward-196,UBT,,10850,,,BJP,,6982,,3868,
Ward-197,MNS,,,,,,,,,
Ward-198,UBT,,,,,,,,,
Ward-199,UBT,,,,,,,,,
Ward-200,UBT,,,,,,,,,
Ward-201,CONGRESS,,,,,,,,,
Ward-202,UBT,,,,,,,,,
Ward-203,UBT,,,,,,,,,
Ward-204,UBT,,,,,,,,,
Ward-205,MNS,,10477,,,BJP,,5238,,5239,
Ward-206,UBT,,,,,,,,,
Ward-207,BJP,,9324,,,MNS,,4026,,5298,
Ward-208,SS (Shinde),,,,,,,,,
Ward-209,MNS,,,,,,,,,
Ward-210,CONGRESS,,8992,,,UBT,,6400,,2592,
Ward-211,IND/OTHERS,,,,,,,,,
Ward-212,IND/OTHERS,,,,,,,,,
Ward-213,CONGRESS,,,,,,,,,
Ward-214,BJP,,,,,,,,,
Ward-215,BJP,,,,,,,,,
Ward-216,CONGRESS,,,,,,,,,
Ward-217,BJP,,14914,,,MNS,,6784,,8130,
Ward-218,BJP,,16977,,,UBT,,7812,,9165,
Ward-219,BJP,,17002,,,CONGRESS,,4200,,12802,
Ward-220,BJP,,,,,,,,,
Ward-221,BJP,,8164,,,CONGRESS,,4100,,4064,
Ward-222,BJP,,11155,,,UBT,,7800,,3355,
Ward-223,CONGRESS,,,,,,,,,
Ward-224,CONGRESS,,,,,,,,,
Ward-225,UBT,,,,,,,,,
Ward-226,BJP,,12015,,,UBT,,5600,,6415,
Ward-227,BJP,,8024,,,UBT,,2300,,5724,
