District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
,195 - AGIAON (SC)अगिआंव (अ.जा.),BJP (NDA),BJP (NDA),66690,69412,2722,CPIML (MGB),CPIML (MGB),50684,69317,16006,95,9006,-8911
,196 - TARARIतरारी,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,197 - JAGDISHPURजगदीशपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,198 - SHAHPURशाहपुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
BUXARबक्सर,199 - BRAHAMPURब्रहमपुर,RJD (MGB),RJD (MGB),94096,95828,1732,LJP (NDA),LJP (NDA),72520,92608,21576,3220,14576,-11356
,200 - BUXARबक्सर,INC (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
BUXARबक्सर,201 - DUMRAONडुमरांव,JDU (NDA),JDU (NDA),99381,79411,-19970,CPIML (MGB),CPIML (MGB),70035,77306,29346,2105,22346,-20241
,202 - RAJPUR (SC)राजपुर (अ.जा.),JDU (NDA),JDU (NDA),82029,80701,-1328,INC (MGB),INC (MGB),58285,71565,33744,9136,26744,-17608
KAIMUR (BHABHUA)कैमूर (भभुआ),203 - RAMGARHरामगढ,BJP (NDA),BSP,-,-,-,-,-,-,-,-,-,±5000,-
,204 - MOHANIA (SC)मोहनिया (अ.जा.),RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,205 - BHABUAभभुआ,RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,206 - CHAINPURचैनपुर,OTHERS,JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
ROHTASरोहतास,207 - CHENARI (SC)चेनारी (अ.जा.),LJP (NDA),LJP (NDA),82677,95579,12902,INC (MGB),INC (MGB),62072,73591,20605,21988,21988,0
,208 - SASARAMसासाराम,RLM,RLM,79097,105006,25909,RJD (MGB),RJD (MGB),72769,79563,6328,25443,13328,12115
,209 - KARGAHARकरगहर,JDU (NDA),JDU (NDA),79230,92485,13255,INC (MGB),BSP,49165,56809,21965,35676,28965,6711
,210 - DINARAदिनारा,RLM,RLM,67846,78338,10492,RJD (MGB),RJD (MGB),56615,67504,11231,10834,10834,0
,211 - NOKHAनोखा,JDU (NDA),JDU (NDA),71127,93193,22066,RJD (MGB),RJD (MGB),55608,69139,15519,24054,22519,1535
,212 - DEHRIडेहरी,RJD (MGB),LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,0
,213 - KARAKATकाराकाट,JDU (NDA),CPIML (MGB),-,-,-,-,-,-,-,-,-,±5000,0
ARWALअरवल,214 - ARWALअरवल,CPIML (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,0
,215 - KURTHAकुर्था,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,0
JAHANABADजहानाबाद,216 - JEHANABADजहानाबाद,JDU (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,0
,217 - GHOSIघोसी,JDU (NDA),JDU (NDA),81010,80740,-270,CPIML (MGB),CPIML (MGB),60587,68811,20423,11929,13423,-1494
,218 - MAKHDUMPUR (SC)मखदमूपुर (अ.जा.),LJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,0
AURANGABADऔरंगाबाद,219 - GOHगोह,BJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,0
,220 - OBRAओबरा,LJP (NDA),LJP (NDA),81329,91638,10309,RJD (MGB),RJD (MGB),72768,79625,8561,12013,12013,0
,221 - NABINAGARनबीनगर,JDU (NDA),JDU (NDA),83733,80380,-3353,RJD (MGB),RJD (MGB),71328,80268,12405,112,5405,-5293
,222 - KUTUMBA (SC)कुटुम्ब (अ.जा.),HAMS,HAMS,74819,84727,9908,INC (MGB),INC (MGB),53612,63202,21207,21525,21525,0
,223 - AURANGABADऔरंगाबाद,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,0
,224 - RAFIGANJरफीगंज,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,0
GAYAगया,225 - GURUAगुरुआ,BJP (NDA),BJP (NDA),84309,99758,15449,RJD (MGB),RJD (MGB),78497,75564,5812,24194,12812,11382
,226 - SHERGHATIशेरघाटी,LJP (NDA),LJP (NDA),74460,77270,2810,RJD (MGB),RJD (MGB),66704,63746,7756,13524,13524,0
,227 - IMAMGANJ (SC)इमामगंज (अ.जा.),HAMS,HAMS,-,-,-,-,-,-,-,-,-,±5000,0
,228 - BARACHATTI (SC)बराचट्टी (अ.जा.),HAMS,HAMS,-,-,-,-,-,-,-,-,-,±5000,0
,229 - BODH GAYA (SC)बोध गया (अ.जा.),LJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,0
,230 - GAYA TOWNगया शहर,BJP (NDA),BJP (NDA),88058,90878,2820,INC (MGB),INC (MGB),64668,64455,23390,26423,26423,0
,231 - TIKARIटिकारी,HAMS,RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,0
,232 - BELAGANJबेलागंज,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,0
,233 - ATRIअत्री,HAMS,HAMS,87244,102102,14858,RJD (MGB),RJD (MGB),63450,76325,23794,25777,25777,0
,234 - WAZIRGANJवजीरगंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
NAWADAनवादा,235 - RAJAULI (SC)राजौली (अ.जा.),RJD (MGB),LJP (NDA),88873,90272,1399,LJP (NDA),RJD (MGB),63370,86319,25503,3953,18503,-14550
,236 - HISUAहिसुआ,BJP (NDA),BJP (NDA),106028,95885,-10143,INC (MGB),INC (MGB),73758,68036,32270,27849,27849,0
,237 - NAWADAनवादा,JDU (NDA),JDU (NDA),108530,87423,-21107,RJD (MGB),RJD (MGB),76609,59829,31921,27594,27594,0
,238 - GOBINDPURगोविंदपुर,LJP (NDA),LJP (NDA),94953,72581,-22372,RJD (MGB),RJD (MGB),50641,49675,44312,22906,37312,-14406
,239 - WARSALIGANJवारसालीगंज,BJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
JAMUIजमुई,240 - SIKANDRA (SC)सिकंदरा (अ.जा.),HAMS,HAMS,62602,91603,29001,RJD (MGB),RJD (MGB),45067,67696,17535,23907,23907,0
,241 - JAMUIजमुई,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,242 - JHAJHAझाझा,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,243 - CHAKAIचकाई,RJD (MGB),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
