District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
,45 - CHHATAPURछातापुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
ARARIAअररिया,46 - NARPATGANJनरपतगंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,47 - RANIGANJ (SC)रानीगंज (अ.जा.),JDU (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,48 - FORBESGANJफोर्बेस्गंज,BJP (NDA),INC (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,49 - ARARIAअररिया,INC (MGB),INC (MGB),93314,91529,-1785,JDU (NDA),JDU (NDA),62908,78788,30406,12741,23406,-10665
,50 - JOKIHATजोकिहाट,AIMIM,AIMIM,-,-,-,-,-,-,-,-,-,±5000,-
,51 - SIKTIसिकटी,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
KISHANGANJकिशनगंज,52 - BAHADURGANJबहादुरगंज,AIMIM,AIMIM,-,-,-,-,-,-,-,-,-,±5000,-
,53 - THAKURGANJठाकुरगंज,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,54 - KISHANGANJकिशनगंज,BJP (NDA),INC (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,55 - KOCHADHAMANकोचाधामन,AIMIM,AIMIM,-,-,-,-,-,-,-,-,-,±5000,-
,56 - AMOURअमौर,AIMIM,AIMIM,-,-,-,-,-,-,-,-,-,±5000,-
,57 - BAISIबैसी,AIMIM,AIMIM,-,-,-,-,-,-,-,-,-,±5000,-
,58 - KASBAकस्बा,LJP (NDA),LJP (NDA),86865,86877,12,INC (MGB),INC (MGB),71076,74002,15789,12875,12875,0
PURNIAपूर्णिया,59 - BANMANKHI (SC)बनमनखी (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,60 - RUPAULIरूपौली,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,61 - DHAMDAHAधमदाहा,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,62 - PURNIAपूर्णिया,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
