District,Constituency,Expected Winning Party (By PPA on 30-07-26),Expected Winning Candidate,Actual Winner (after results),Runner-Up (By PPA on 30-07-26),Runner-Up Candidate,Actual Runner-Up (after results),Winning Margin (By PPA on 30-07-26),Actual Margin (after results)
Patna\nपटना,182 - BANKIPUR\nबांकीपुर,JSP,Prashant Kishor,-,BJP (NDA),Neeraj Kumar Singh,-,2000 - 5000,-
