Alliance,Party Name,Estimated Seats Prediction,Estimated Plus Minus,Expected Total Seats,Actual Seats After Results
NDA,AIADMK,1,±1,22,
NDA,BJP,7,±1,,
NDA,AINRC,12,±2,,
NDA,LJK,2,±1,,
SPA,DMK,4,±1,8,
SPA,INC,4,±1,,
SPA,VCK,0,±1,,
-,TVK,0,-,0,
-,Others,0,-,0,
