Party Name,Estimated Seats before 09-03-2017,Estimated plus minus,Estimates on 09-03-2017 after calculations,Actual seats received on 11-03-2017
BJP,275,(+-)25,300,312
BSP,40,(+-)10,30,19
SP,55,(+-)10,45,47
Congress,15,(+-)05,10,7
Others,18,(+-)05,18,18
